CLASE DE EQUIPO;ESTADO DEL EQUIPO;MARCA;MODELO;SERIAL DEL EQUIPO;MEMORIA RAM;DISCO DURO;SERIAL MONITOR;SERIAL MOUSE;NOMBRE ACTUAL DEL EQUIPO;NOMBRE NUEVO DEL EQUIPO
PC ESCRITORIO;EN USO;DELL;PRECISION WORKSTATION T5400;6PR7YH1;8 GB;4 TB;MX-G324H-74262-6B3-4F6L;NO LEGIBLE;CL1303ACUCAYALA;CL1303ACUCOAYAL
PC PORTATIL;EN USO;LENOVO;81B0;MP1PX9RV;12 GB;1 TB;N/A;SIN MOUSE;DESKTOP-ANJMTMM;CL1303ACUALARP3
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380LY1;4 GB;500 GB;CN414413X3;7CH8260HT3;CL1303ACUAMANGU;CL1303ACUAMANGU
PC PORTATIL;EN USO;LENOVO;81YB;PF1TTN03;12 GB;1 TB;N/A;SIN MOUSE;COD02ADMGAELEJA;COD01ADMGAELEP1
PC PORTATIL;EN USO;HP;HP PROBOOK 430 G8 NOTEBOOK;5CD201CDPW;16 GB;500 GB;CN41280PJR;SIN MOUSE;CAM14ADMDEDQUE;CAM14ADMDEDQUE
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FMH;8 GB;1 TB;6CM6350J0S;FCMHH0AKZ43AQI;DIE02ENEVJSANC;DIE02ENEVJSANC
PC PORTATIL;EN USO;HP;HP PROBOOK 440 G6 ;5CD9501VY4;12 GB;500 GB;N/A;N/A;CAM02GTIFRMADP1;CAM02GTIFRMADP1
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LSZ;8 GB;500 GB;CNC742052L;FCMHH0CQWA0MP3;CL1303ACUORFIGU;CL1303ACUORFIGU
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380MLV;4 GB;500 GB;CN4144143V;7CHH1207520;CL1303ACUMNLOPE;CL1303ACUMNLOPE
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031H7T;4 GB;500 GB;CNC248P6GF;285986-011;COD01ADMDFSEDAN;COD01ADMJEHURTA
PC ESCRITORIO;EN USO;HP;HP COMPAQ 8200 ELITE SFF;MXL11823ZJ;4 GB;500 GB;3CQ34713R6;285986-011;CAM12FINJLRAMIR;COD01ADMJRROJAS
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FR1;8 GB;500 GB;6CM6350KLV;NO LEGIBLE;BOU09ENEDMCHAM1;DIE02ENEDMCHAMO
PC PORTATIL;EN USO;HP;HP PROBOOK 440 G6;5CD9501VX8;8 GB;1 TB;N/A;N/A;DIE02ENEWAORTP1;DIE02ENEWAORTP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050HFR;4 GB;500 GB;CN420503CM;7CH92205HB;COD02ADMMARCORT;COD02ADMMARCORT
PC ESCRITORIO;EN USO;HP;HP Z210 WORKSTATION;2UA2060V78;8 GB;1 TB;3CQ147BRYY;NO LEGIBLE;CL1304ACUAGMEDI;CL1304ACUAGMEDI
