CLASE DE EQUIPO;ESTADO DEL EQUIPO;MARCA;MODELO;SERIAL DEL EQUIPO;MEMORIA RAM;DISCO DURO;SERIAL MONITOR;SERIAL MOUSE;NOMBRE ACTUAL DEL EQUIPO;NOMBRE NUEVO DEL EQUIPO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050HHC;4 GB;500 GB;CN420503FP;SIN SERIE;FLO04COMGNMARIN;FLO04COMGNMARIN
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LTW;8 GB ;500 GB;CNC742052G;NO LEGIBLE;CL3103ACUGACORT;CL3103ACUGACORT
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF ;MXL3031KL7;4 GB;500 GB;CNC428P583;X9K95401417455;FLO04COMCFBURIT;FLO04COMCFBURIT
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF ;MXL3031H66;4 GB;500 GB;3CQ95338TW;NO LEGIBLE;NAV02ACUALBARR;CL1301ACUALBARR
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G3;5CG6495Z9R;8 GB ;500 GB;N/A ;N/A;CLL1301ACUGELP1;CL1301ACUGELP1
PC ESCRITORIO;EN USO;HP;HP Z230 TOWER WORKSTATION;2UA4502X2Q;16 GB;1 TB ;CNK4350NYS;NO LEGIBLE;CCM01ACURDCALER;CCM01ACURDCALER
PC ESCRITORIO;EN USO;HP;HP Z230 TOWER WORKSTATION;2UA4502X2L;16 GB;2 TB;CNK4350NYW;NO LEGIBLE;CCM01ACUJHCASTA;CCM01ACUJHCASTA
PC PORTATIL;EN USO;HP;HP 240 G7 Notebook;5CG9382HNL;12 GB;1 TB ;N/A ;N/A;CAM09ADMADCATP1;CAM13ADMADCATP1
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK ;5CG9382HG5;4 GB;500 GB;N/A ;N/A;CAM04GENRJBUCP1;CAM04GENRJBUCP1
PC PORTATIL;EN USO;HP;HP PROBOOK 6470B;CNU3029RW8;4 GB;500 GB;N/A ;N/A;CAM13GENALMANP1;CAM13GENALMANP1
PC ESCRITORIO;EN USO;HP;HP Z240 TOWER WORKSTATION ;2UA7502C04;16 GB;1500 GB;CNK7310BHL;SIN SERIE;CAM13GENLOHERNA;CAM13GENLOHERNA
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050FTZ;4 GB;500 GB;CN414413W0;7CH7060H9X;ALC01ACUCAMURI1;ALC01ACUCAMURI1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1350CG8;4 GB;500 GB;3CQ04809K0;NO LEGIBLE;CL1302ACUZAMART;CL1302ACUZAMART
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LT7;8 GB;500 GB;CNC7420534;FCMHH0CQWA0MP2;CL1301ACUSAGALL;CL1301ACUSAGALL
PC ESCRITORIO;EN USO;HP;HP Z220 CMT WORKSTATION;2UA3030FM4;8 GB;4 TB;CN42520PYM;NO LEGIBLE;CL1301ACUDHBON;CL1301ACUDHBON
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG9461HTR;8 GB;500 GB;N/A ;SIN MOUSE;CAM02FINMOMESP1;CAM02FINMOMESP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1280MN2;4 GB;500 GB;CN4144144S;ILEGIBLE;CL1302GENMTRENT;CL1302GENMTRENT
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL33712XL;4 GB;500 GB;3CQ34713R4;FCGLH0D5D4XD5M;CL1302ACUISCUER;CL1302ACUISCUER
PC PORTATIL;EN USO;LENOVO;81YB;PF1TTX2L;4 GB;500 GB;N/A ;N/A;CL302ACUSEGUGP1;CL1302ACUSEGUGP
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LT3;8 GB;500 GB;CNC7420512;FCH1455JP;CL1301ACUJMRAMI;CL1301ACUJMRAMI
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031KL5;4 GB;500 GB;CNC243Q5VC;NO LEGIBLE;SAL02TELLEAGUD2;SAL02TELLEAGUD2
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G1 SFF;MXL4492MWD;8 GB;500 GB;3CQ4382BFG;HS102HB;SAL02TELLFCUELL;SAL02TELLFCUELL
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031KKW;4 GB;500 GB;CNC248P6C2;7CH9220TN4;SAL02TELORTREJO;SAL02TELGAPOSAD
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL3031KFJ;4 GB;500 GB;CNC248P6QV;FCGLH0D9WS601;GUA02TELHEMERCA;CL1302TELHEMERC
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P40;4 GB;500 GB;CN4205037M;X6B92134708159;SAL02ADMWESALAS;SAL02ADMYECASTI
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380MMQ;4 GB;500 GB;CN4144143T;NO LEGIBLE;CL1302ACULFPOTO;CL1302ACULFPOTO
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG94335XG;12 GB;1 TB;N/A ;N/A;NAV02ACUFJGRUP2;CL1301ACUFJGRUP2
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL126081D;4 GB;500 GB;3CQ04809B7;7CH04028Q3;ALC01ACUHFTABAR;ALC01ACUHFTABAR
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050G2K;4 GB;500 GB;CN420503T3;NO LEGIBLE;ALC01ACULUFRANC;ALC01ACUEDGIMEN
PC ESCRITORIO;EN USO;HP;HP Z240 TOWER WORKSTATION;2UA7502C0J;16 GB;2 TB;CNK7310B9W;FCMHH0CQWA0O9P;NAV02ACUGECHAVE;ALC01ACUGECHAVE
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050G3N;4 GB;500 GB;CN420501S6;7CH12226MP;ALC01ACUSALEUDO;ALC01ACUSALEUDO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL 2050P5D;4 GB;500 GB;VS17350;NO LEGIBLE ;SAL01TELLHHERNA;SAL01TELLHHERNA
PC PORTATIL;EN USO;HP ;HP ELITEDESK 800 G2 SFF;MXL6481FN1;8 GB ;500 GB;6CM6350K94;672652-001;SAL01ADMSVALVIZ;SAL01ADMSVALVIZ
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8200 SFF ;MXL2050HGL;4 GB;500 GB;3CQ34713T2;NO LEGIBLE ;ALC01ACUMAZULUA;ALC01ACUMAZULUA
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8200 SFF ;MXL1380MMV;4 GB;500 GB;CN414413W8;FCMHH0C9Z7HH6T;ALC01ACUGUZAMO1;ALC01ACUGUZAMO1
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8200 SFF ;MXL1380LYL;4 GB;500 GB;CNC248P62K;NO LEGIBLE ;SAL03TELLAZUNIG;SAL03TELLAZUNIG
PC PORTATIL;EN USO;LENOVO;81B0;MP1PX5N4;12 GB;1 TB;N/A ;N/A;CLL1302ACUSAGP1;CL1301ACUSAGAP1
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G4;5CG7503G56;8 GB;1TB;N/A ;SIN MOUSE;NAV02ACUGECHAV2;ALC01ACUGECHAV2
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG9382H5N;12 GB;1 TB;N/A ;N/A;EMCALI-P1-0188;CL1301ACUCIVIP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031H5C;4 GB;500 GB;CNC248P61D;NO LEGIBLE;SAL03TELFECOLOR;SAL03TELFECOLOR
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N17;4 GB;500 GB;CN410503NL;NO LEGIBLE;CL1302ACUNHALGA;CL1302ACUMIFLOR
PC PORTATIL;EN USO;LENOVO;81YB;PF1YL00D;12 GB;1 TB;N/A ;N/A;SAL03TELFECOLP1;SAL03TELFECOLP1
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8200 SFF ;MXL1380MMJ;4 GB;500 GB;VS2248;NO LEGIBLE;SAL01TELALCASTR;SAL01TELALCASTR
PC PORTATIL;EN USO;LENOVO ;81YB;PF1TTJ6W;12 GB ;1 TB;N/A ;N/A;COL02TELALCASP1;SAL01TELALCASP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380MLP;4 GB;500 GB;3CQ04809C2;7CH8260Y0P;PTA01ADMRDGUEVA;ALC01ADMRDGUEVA
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8200 SFF ;MXL3031KGC;4 GB;1 TB;CNC248P6YX;NO LEGIBLE;SAL01TELAMARLAD;SAL01TELAMARLAD
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N4X;4 GB;1 TB;CN420500D3;NO LEGIBLE;CL1302GENWICAS;CL1302GENWICAS
PC ESCRITORIO;EN USO;HP ;HP ELITEDESK 800 G1 SFF;MXL4492LWC;8 GB;500 GB;3CQ4382BLG;NO LEGIBLE;SAL01TELJCOSOR2;SAL01TELLUELLUEDIAZ
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031J4B;4 GB;500 GB;CNC248P6CN;NO LEGIBLE;SAL02TELJCLENIS;SAL02TELJCLENIS
PC PORTATIL;EN USO;LENOVO ;81YB;PF1YKEBH;12 GB;1 TB;N/A ;N/A;SAL02TERLJCLENP1;SAL02TERLJCLENP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N1M;4 GB;500 GB;CN425038H;NO LEGIBLE;SAL02TELHEGONZA;SAL02TELHEGONZA
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8200 SFF ;MXL2050N4Q;4 GB;500 GB;CN420503Q9;NO LEGIBLE;SAL02TELPRUEBAS;SAL02TELPRUEBAS
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031J47;4 GB;1 TB;CNC248P70H;NO LEGIBLE;CL1302ACUARLOPE;CL1302ACUARLOPE
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL230TXP;4 GB;500 GB ;CN414413X5;SIN SERIE;CL1302GENJEGOME;ALC01ACUJEGOME
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P49;4 GB;1 TB;VDP2242A0551;7CH120752S;SAL03TELYOALDAN;SAL03TELYOALDAN
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG938379V;12 GB;1 TB;N/A ;SIN MOUSE;CAM08ABSFERAMP1;CAM08ABSFERAMP1
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION ;2UA7501LS1;8 GB;500 GB;CNC742050C;FCMHH0CQWA0N3J;CL1302ACUFERIAS;CL1302ACUFERIAS
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LSB;8 GB;500 GB;CNC742050K;FCMHH0CQWA0N6A;ALC01ACUEHECHEV;ALC01ACUEHECHEV
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N0X;4 GB;500 GB;N/A ;FCGLH0DHD3SXOR;CL1302ACUJESOLA;CL1302ACUJESOLA
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050G3X;4 GB;500 GB;CN420503XM;NO LEGIBLE;CL1302ACUGEPER1;CL1302ACUGEPER1
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION ;2UA7501LRC;8 GB;500 GB;CNC742053M;FCMHH0CQWA0M44;ALC01ACULHTORO;ALC01ACULHTORO
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G1 SFF;MXL4492MXH;8 GB;500 GB;J2213LE12042500319;NO LEGIBLE;SAL03ADMNELVAS2;SAL03ADMNELVAS2
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL33712QH;4 GB;500 GB;3CQ1050KW4;7CH84843GK;ALC01ACUOSVILLA;ALC01ACUOSVILLA
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G1 SFF;MXL4492LV4;N/A;N/A;3CQ4382BNL;NO LEGIBLE;N/A;N/A
PC ESCRITORIO;DAR DE BAJA;HP;HP COMPAQ DC5700;MXJ701033S;1 GB;74,5 GB;N/A ;NO LEGIBLE;PREVENTIVO;PREVENTIVO
PC ESCRITORIO;DAR DE BAJA;HP ;HP COMPAQ DC 7800P SFF;MXJ836010M;2 GB;N/A;CNC828PHJ4;NO LEGIBLE;IFCUELLAR;IFCUELLAR
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FN7;8 GB;500 GB;6CM6350K8G;NO LEGIBLE;CAM09ABSJPQUIMB;CL1302ABSJPQUIM
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8300 SFF;MXL3031HZG;4 GB;500 GB;CNC248P6ZG;NO LEGIBLE;NAV01ACUGIAREIZ;CL1302ACUGIAREI
PC PORTATIL;EN USO;LENOVO;81B0;MP1PX7WR;12 GB;1 TB;N/A;N/A;CL1301ACUGACOP1;CL1301ACUGACOP1
PC PORTATIL;EN USO;LENOVO;81B0;MP1PX8BQ;12 GB ;1 TB;N/A;N/A;ALC01ACULNQUIP1;ALC01ACUANFORP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N1B;4 GB;500 GB;CN420501NY;FCMHH0CQWA0JUO;CL1302ACUALCANA;CL1302ACUALCANA
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8200 SFF ;MXL1380MML;4 GB;500 GB;CN414413W5;NO LEGIBLE;ALC01ACUADMONTA;ALC01ACUJCMARMO
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LTR;8 GB;500 GB;CNC74205SZ;NO LEGIBLE;CL1302ACUCPSANC;CL1302ACUCPSANC
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050HG6;4 GB;500 GB;CN420501SM;HS102HB;DIE02ENEJAVIERA;DIE02ENEVABERMU
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031J22;4 GB;1 TB;CNC248P6CL;NO LEGIBLE;DIE02ENEJIMENMAN;DIE02ENERAERAZO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N36;4 GB;500 GB;CN420503NZ;F93A90H5BW72NFL;CL1302ACUJJRES1;CL1302ACUJJRES1
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G1 SFF;MXL4492MWW;8 GB ;500 GB;3CQ4382BLN;7CH62904SW;CL1302ACUEDOVAL;CL1302ACUEDOVAL
PC PORTATIL;EN USO;LENOVO;81YB;PF1YK4FH;12 GB;1 TB;N/A;N/A;DIE02ENEHSWILP1;DIE02ENEHSWILP1
PC ESCRITORIO;EN USO;HP;HP Z210 WORKSTATION;2UA2060V7D;8 GB;2 TB;3CQ147BRV1;NO LEGIBLE ;CL1302ACUVEAGUD;CL1302ACUVEAGUD
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N2N;4 GB;500 GB;CN420503FT;NO LEGIBLE;CL1302ACUEAESCO;CL1302ACUEAESCO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2288WWV;4 GB;500 GB;3CQ4382BMC;2100004005003;CAE02ENEHSWILCH;DIE02ENENOPEREZ
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG9382HPP;12 GB;1 TB;N/A;N/A;CL1302ACUCPSAP1;CL1302ACUCPSAP1
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8300 SFF;MXL3031HZY;4 GB ;500 GB;CNC248P6RB;7CH8260VG9;BOMNAT01ACUCASE;ALC01ACUCASEGU
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL126081P;4 GB;500 GB;3CQ04809D8;N/A;DIE02ENEJMDONNE;DIE02ENEJMDONNE
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8200 SFF ;MXL1380MMF;4 GB ;1 TB;CN414413XD;X9A94883205506;ALC01ACUJAURRE;ALC01ACUJAURRE
PC PORTATIL;EN USO;LENOVO ;81YB;PF1TTJ8B;12 GB;1 TB ;N/A;N/A;DIE01ENELCDELP1;DIE02ENELCDELP1
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G4;5CG7503G7R;8 GB;1 TB;N/A;FCMHH0CVA94K0A;CL1302ACUALCAP2;CL1302ACUALCAP2
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031J2C;4 GB;500 GB;CNC248P65D;NO LEGIBLE;ALC01ACUJALCARA;ALC01ACUDIPIZAR
PC ESCRITORIO;EN USO;DELL;PRECISION WORKSTATION T5400;H5S7YH1;16 GB;1 TB;MX-0G324H-74262-6B3-4FNL;SIN MOUSE;ALC01ACUOALOSAD;ALC01ACUOALOSAD
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N0V;4 GB;1 TB;CN42050400;7CH92237HW;DIE01ENEJFAGUIR;DIE02ENEJFAGUI
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL126082F;4 GB;500 GB;3CQ0489B6;SIN SERIE;DIE02ENEFLMOSQU;DIE02ENESTHIDAL
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031JOF;4 GB ;500 GB;CN4205040Z;672662-001;DIE02ENEFHNINP1;DIE02ENEFHNINO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050G3L;4 GB ;500 GB;CN420501S5;NO LEGIBLE;CL1302ACUJUACAR;CL1302ACUJUACAR
PC PORTATIL;EN USO;LENOVO ;81B0;MP1PX3FE;12 GB ;1 TB;N/A;N/A;EMCALI-P1-0290;CL1302ACUVAGP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P4L;4 GB ;500 GB;CN420501SN;7CH84843GD;ALC01ACURICALVO;ALC01ACURICALVO
PC PORTATIL;EN USO;LENOVO;81YB;PF1YKECZ;12 GB;1 TB;N/A;SIN SERIE;DIE02ENEJAHOLP1;DIE02ENEJAHOLP1
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG94335Q0;8 GB ;500 GB;N/A;SIN MOUSE;ALC01ACUCASEGP1;ALC01ACUCASEGP1
PC ESCRITORIO;EN USO;HP;HP Z230 TOWER WORKSTATION;2UA4502X2T;16 GB;2 TB;CNK42901TQ;NO LEGIBLE;BOU07ACUJULLORA;BOU07ACUJULLORA
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG9382J31;12 GB;1 TB;N/A;N/A;CLL1302ACUGEPER;CL1302ACUGEPERE
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380LYD;4 GB;1 TB;CN414413XN;NO LEGIBLE;CL1302ACUOSGARI;CL1302ACUOSGARI
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FM1;8 GB;500 GB;6CM6350KL8;NO LEGIBLE;CL1302ACUGEPER3;CL1302ACUGEPER3
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL380MM2;4 GB;500 GB;CN41441438;NO LEGIBLE ;CL1302ACUJNSUAR;CL1302ACUJNSUAR
PC PORTATIL;EN USO;HP;HP PROBOOK 440 G6 ;5CD9501V65;12 GB;1 TB;N/A;N/A;CAM07ADMCALLAP1;CAM07ADMCALLAP1
PC PORTATIL;EN USO;LENOVO;81YB;PF1YL9XS;12 GB;1 TB;N/A;N/A;DIE02ENELFVALP1;DIE02ENELFVALP1
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G3;5CG6495Z3B;8 GB;500 GB;N/A;N/A;CAM01COMLIDECR3;DIE02ENENESIP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380LYR;4 GB;500 GB;CN4144143X;7CH8260C8Q;CL1302ACUAMMATA;CL1302ACUALDELG
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL33712QX;4 GB;500 GB;3CQ34713S7;SIN SERIE;NAV02ADMANMESIA;COD02ACUANMESIA
PC PORTATIL;EN USO;LENOVO;81YB;PF1YJLC5;4 GB;1 TB;N/A;N/A;DIE02ENERAOLAP1;DIE02ENERAOLAP1
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG9381FHN;12 GB;1 TB;N/A;N/A;EMCALI-P1-0133;CL1302ACUEDOVP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P4H;4 GB;500 GB;CN4105019S;NO LEGIBLE;CL1302ACUWIBOTE;CL1302ACUWIBOTE
PC PORTATIL;EN USO;LENOVO;81YB;PF1TT964;4 GB;1 TB;N/A;N/A;DIE02ENEFLMOSP1;DIE02ENEWAORTP
PC ESCRITORIO;EN USO;HP;LATITUDE E6400;H998YH1;2 GB ;256 GB;N/A;SIN MOUSE ;BOU10ACUMDMOL01;COD02ACUAAVILLA
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG9381CWP;12 GB ;1 TB;N/A;N/A;CL1302ACUJAPAP1;CL1302ACUJAPAP1
PC ESCRITORIO;DAR DE BAJA;HP ;HP COMPAQ DC 7800P SFF;MXJ8360148;N/A;N/A;3CQ04809WT;F93A90H5BW72NF4;N/A;N/A
PC ESCRITORIO;EN USO;HP ;HP ELITEDESK 800 G1 SFF;MXL4492LSK;8 GB;500 GB;3CQ9483B3V;NO LEGIBLE ;CL1302ACUJHBEDO;CL1302ACUJHBEDO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P4D;4 GB;1 TB;CN420501LP;X9L95401610654;DIE02ENEMFSANDO;DIE02ENEMFSANDO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;Mxl2050P3N;4 GB;500 GB;CNC832QRB8;SIN MOUSE ;CAM02GTIVESAND6;COD02ACUALORDON
PC PORTATIL;EN USO;LENOVO;81YB;PF1TV0MQ;12 GB;1 TB;N/A;N/A;DIE01ENEVRHERP1;DIE02ENEVRHERP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031H54;4 GB;500 GB;CNC248P6R5;N/A;CAM09ADMBGURIBE;DIE02ENEMARTORR
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FLY;8 GB;500 GB;6CM6350K1W;FBEFP0DW24S02Y;BOU09ENENIMUNO0;DIE02ENENIMUNOZ
PC ESCRITORIO;EN USO;HP ;HP COMPAQ ELITE 8200 SFF ;MXL2050N4M;4 GB ;500 GB ;CN420501MG;417441-002;DIE01ENECECOB1;DIE02ENECECOB1
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG9461H81;8 GB;500 GB;N/A;SIN MOUSE;CAM02FINADFEIP1;CAM02FINADFEIP1
PC PORTATIL;EN USO;LENOVO ;81B0;5CG9382JQV;12 GB;1 TB;N/A;N/A;EMCALI-P1-0132;CL1302ACUEAESP1
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG9382JQV;12 GB;1 TB;N/A;N/A;EMCALI-P1-0132;CL1302ACUEAESP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031J50;4 GB;500 GB;CNC248P4SX;7CH92237JS;NAV02ACUJECAMAC;COD02ACUPAGIRAL
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G1 SFF;MXL44992LVK;8 GB;500 GB;3CQ4382BKM;7CH1468J99;CAM11COMMFSAENZ;COD02ACUMFSAENZ
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G3;5CG6495Z4D;8 GB;500 GB;N/A;N/A;COD02ADMIAFAJP1;COD02ADMIAFAJP1
PC PORTATIL;EN USO;HP;HP PROBOOK 6470B;CNU3029N99;4 GB;500 GB;N/A;N/A;CAM02GTILMMEDI1;CAM02GTILMMEDP3
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION ;2UA7501LQQ;8 GB;500 GB;CNC742053J;FCMHH0CQWA0M64;ALC01ACUXPFRTEM;ALC01ACUXPFRTEM
PC PORTATIL;EN USO;LENOVO;81YB;PF1YMNGN;12 GB ;1 TB;N/A;N/A;DIE02ENEJAVIEP1;DIE02ENEJAVIEP1
PC PORTATIL;EN USO;LENOVO;81YB;PF1TV9NC;12 GB;500 GB;N/A;N/A;CAM14ADMHEMERP1;CL1302TELHEMEP1
PC PORTATIL;EN USO;HP;HP 245 G7 NOTEBOOK;5CG9461H9M;8 GB;500 GB;N/A;N/A;CL1302ACUISCUP1;CL1302ACUISCUP1
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FNR;8 GB;500 GB ;6CM6350J10;FATK0MAU0YJ6K;CL1302ACUCARMEN;CL1303ACUCARMEN
PC ESCRITORIO;EN USO;HP;HP Z210 WORKSTATION ;2UA2060V7C;8 GB;3 TB;3CQ147BS53;SIN MOUSE;CL1303ACUSABENI;CL1303ACUSABENI
